Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Sex,Species
47.4,14.6,212.0,4725.0,8.19101,-26.24369,1,2
48.2,14.3,210.0,4600.0,7.6887,-25.50811,1,2
36.0,17.8,195.0,3450.0,8.94332,-25.79189,1,0
52.7,19.8,197.0,3725.0,9.00642,-24.61867,0,1
46.5,14.8,217.0,5200.0,8.58487,-26.5929,1,2
45.9,17.1,190.0,3575.0,9.12277,-24.90024,1,1
49.6,18.2,193.0,3775.0,9.4618,-24.70615,0,1
53.5,19.9,205.0,4500.0,10.02544,-24.90816,0,1
50.0,15.9,224.0,5350.0,8.20042,-26.39677,0,2
39.0,18.7,185.0,3650.0,9.22033,-26.03442,0,0
41.1,18.2,192.0,4050.0,8.62264,-26.60023,0,0
41.3,20.3,194.0,3550.0,9.14863,-26.09635,0,0
43.5,14.2,220.0,4700.0,8.64931,-26.68867,1,2
37.6,19.1,194.0,3750.0,9.108,-25.89677,0,0
46.4,17.8,191.0,3700.0,9.37369,-24.52896,1,1
36.4,17.1,184.0,2850.0,8.62623,-26.1165,1,0
37.0,16.9,185.0,3000.0,9.36392,-25.01745,1,0
46.1,13.2,211.0,4500.0,7.993,-25.5139,1,2
39.3,20.6,190.0,3650.0,8.66496,-25.29805,0,0
38.6,17.0,188.0,2900.0,9.18021,-25.77264,1,0
50.5,15.9,225.0,5400.0,8.65803,-26.57585,0,2
38.1,17.6,187.0,3425.0,8.717,-25.77951,1,0
40.6,18.8,193.0,3800.0,8.56674,-25.98843,0,0
39.6,18.1,186.0,4450.0,8.49915,-26.42406,0,0
50.2,18.7,198.0,3775.0,9.39305,-24.25255,1,1
39.6,20.7,191.0,3900.0,8.80967,-26.78958,1,0
39.8,19.1,184.0,4650.0,,,0,0
45.7,13.9,214.0,4400.0,8.6287,-26.60484,1,2
49.3,19.9,203.0,4050.0,9.88809,-24.59513,0,1
55.9,17.0,228.0,5600.0,8.3118,-26.35425,0,2
41.1,17.5,190.0,3900.0,8.94365,-26.06943,0,0
42.8,14.2,209.0,4700.0,7.63452,-25.46327,1,2
46.2,17.5,187.0,3650.0,9.61734,-24.66188,1,1
36.0,17.1,187.0,3700.0,8.93465,-26.07081,1,0
48.5,17.5,191.0,3400.0,9.42666,-24.26375,0,1
37.6,19.3,181.0,3300.0,9.41131,-25.04169,1,0
40.9,16.8,191.0,3700.0,8.47257,-26.02002,1,0
51.5,16.3,230.0,5500.0,8.78557,-25.76147,0,2
39.6,18.8,190.0,4600.0,9.49106,-24.10255,0,0
51.7,20.3,194.0,3775.0,8.68747,-24.38751,0,1
39.5,17.8,188.0,3300.0,9.66523,-25.0602,1,0
42.7,18.3,196.0,4075.0,8.91434,-26.42018,0,0
41.1,18.6,189.0,3325.0,9.32277,-26.09989,0,0
46.2,14.4,214.0,4650.0,8.24253,-26.8154,-1,2
47.0,17.3,185.0,3700.0,8.72037,-24.80526,1,1
45.5,13.9,210.0,4200.0,8.47829,-26.61788,1,2
40.1,18.9,188.0,4300.0,8.51362,-26.55602,0,0
41.1,18.1,205.0,4300.0,8.77018,-25.83352,0,0
45.2,16.4,223.0,5950.0,8.19749,-26.65931,0,2
46.0,18.9,195.0,4150.0,8.47173,-24.29229,1,1
36.0,17.9,190.0,3450.0,9.51784,-25.07683,1,0
46.4,15.6,221.0,5000.0,8.35078,-26.70783,0,2
52.0,19.0,197.0,4150.0,9.36799,-24.47142,0,1
51.4,19.0,201.0,3950.0,9.43782,-24.36202,0,1
40.3,18.5,196.0,4350.0,8.39459,-26.01152,0,0
46.5,14.4,217.0,4900.0,8.48789,-26.83006,1,2
54.3,15.7,231.0,5650.0,8.49662,-26.84166,0,2
49.5,16.1,224.0,5650.0,8.83352,-25.69195,0,2
58.0,17.8,181.0,3700.0,9.14382,-24.57994,1,1
39.5,16.7,178.0,3250.0,9.69756,-25.11223,1,0
35.1,19.4,193.0,4200.0,8.90002,-26.46254,0,0
37.3,16.8,192.0,3000.0,9.06829,-25.85203,1,0
34.4,18.4,184.0,3325.0,8.47827,-25.23319,1,0
43.8,13.9,208.0,4300.0,8.58319,-26.84415,1,2
50.6,19.4,193.0,3800.0,9.28153,-24.97134,0,1
46.4,18.6,190.0,3450.0,9.32105,-24.64162,1,1
34.0,17.1,185.0,3400.0,8.01485,-26.69543,1,0
45.5,15.0,220.0,5000.0,8.63604,-26.7489,0,2
48.5,14.1,220.0,5300.0,8.39867,-26.79358,0,2
41.3,21.1,195.0,4400.0,8.74802,-26.37809,0,0
50.0,19.5,196.0,3900.0,8.92069,-24.23592,0,1
49.0,16.1,216.0,5550.0,8.10417,-25.50562,0,2
46.5,14.5,213.0,4400.0,7.90436,-25.3947,1,2
43.2,16.6,187.0,2900.0,9.35416,-25.01185,1,1
41.5,18.3,195.0,4300.0,8.52566,-26.0245,0,0
45.1,14.5,215.0,5000.0,7.6322,-25.46569,1,2
50.9,17.9,196.0,3675.0,9.43684,-24.16566,1,1
37.8,18.1,193.0,3750.0,8.97533,-26.03495,0,0
40.6,17.2,187.0,3475.0,9.23408,-26.01549,0,0
49.8,17.3,198.0,3675.0,9.32169,-24.41562,1,1
37.2,19.4,184.0,3900.0,8.3554,-26.44787,0,0
40.6,18.6,183.0,3550.0,8.93997,-25.36288,0,0
49.5,16.2,229.0,5800.0,8.49854,-26.74809,0,2
41.1,19.1,188.0,4100.0,8.71078,-25.81012,0,0
48.7,15.7,208.0,5350.0,8.14776,-26.84506,0,2
35.7,17.0,189.0,3350.0,8.96436,-23.90309,1,0
49.1,15.0,228.0,5500.0,8.65914,-25.79203,0,2
38.1,18.6,190.0,3700.0,8.10277,-26.50086,1,0
40.2,17.0,176.0,3450.0,9.30722,-25.61039,1,0
40.9,18.9,184.0,3900.0,8.79665,-25.14591,0,0
48.8,16.2,222.0,6000.0,8.33825,-25.88547,0,2
51.1,16.5,225.0,5250.0,8.2066,-26.36863,0,2
46.8,16.5,189.0,3650.0,9.65061,-24.48153,1,1
36.2,17.2,187.0,3150.0,9.04296,-26.19444,1,0
59.6,17.0,230.0,6050.0,7.76843,-25.6821,0,2
36.6,18.4,184.0,3475.0,8.68744,-25.8306,1,0
55.8,19.8,207.0,4000.0,9.70465,-24.53494,0,1
45.2,16.6,191.0,3250.0,9.62357,-24.78984,1,1
44.5,15.7,217.0,4875.0,8.04111,-26.18444,2,2
35.0,17.9,192.0,3725.0,8.84451,-26.28055,1,0
39.7,17.9,193.0,4250.0,9.25769,-25.88798,0,0
50.7,15.0,223.0,5550.0,8.63551,-26.74249,0,2
49.3,15.7,217.0,5850.0,8.07137,-25.52473,0,2
46.8,15.4,215.0,5150.0,8.1631,-25.38017,0,2
51.1,16.3,220.0,6000.0,8.40327,-26.76821,0,2
46.5,13.5,210.0,4550.0,7.9953,-25.32829,1,2
35.2,15.9,186.0,3050.0,8.81668,-25.95399,1,0
34.1,18.1,193.0,3475.0,,,-1,0
45.3,13.8,208.0,4200.0,8.65015,-26.79053,1,2
33.1,16.1,178.0,2900.0,9.04218,-26.15775,1,0
46.7,17.9,195.0,3300.0,9.74144,-24.59467,1,1
37.5,18.9,179.0,2975.0,,,-1,0
49.6,16.0,225.0,5700.0,8.38324,-26.84272,0,2
36.8,18.5,193.0,3500.0,8.98705,-25.57647,1,0
47.5,14.2,209.0,4600.0,8.39299,-26.78733,1,2
53.4,15.8,219.0,5500.0,8.41017,-26.33867,0,2
47.2,13.7,214.0,4925.0,7.99184,-26.20538,1,2
39.7,18.4,190.0,3900.0,9.29808,-25.23453,0,0
39.2,19.6,195.0,4675.0,9.4606,-24.89958,0,0
45.5,17.0,196.0,3500.0,9.36493,-24.66259,1,1
50.8,18.5,201.0,4450.0,9.45827,-24.35575,0,1
46.2,14.1,217.0,4375.0,8.30231,-25.96013,1,2
50.2,18.8,202.0,3800.0,9.74492,-24.404,0,1
44.1,19.7,196.0,4400.0,9.2372,-24.52698,0,0
41.1,17.6,182.0,3200.0,,,1,0
38.8,17.6,191.0,3275.0,8.88098,-25.89741,1,0
35.5,17.5,190.0,3700.0,8.70642,-26.15003,1,0
38.3,19.2,189.0,3950.0,9.07826,-26.12417,0,0
50.8,17.3,228.0,5600.0,8.27428,-26.30019,0,2
40.6,19.0,199.0,4000.0,9.22537,-25.60826,0,0
43.1,19.2,197.0,3500.0,8.86495,-26.1396,0,0
46.2,14.5,209.0,4800.0,7.84057,-25.37899,1,2
43.6,13.9,217.0,4900.0,8.27141,-26.7765,1,2
48.1,15.1,209.0,5500.0,8.45738,-26.22664,0,2
44.5,14.3,216.0,4100.0,7.96621,-25.69327,-1,2
52.0,20.7,210.0,4800.0,9.43146,-24.6844,0,1
40.9,16.6,187.0,3200.0,9.08458,-24.54903,1,1
45.8,18.9,197.0,4150.0,8.18658,-26.45978,0,0
41.4,18.5,202.0,3875.0,9.59462,-25.42621,0,0
39.0,17.1,191.0,3050.0,9.19031,-25.73722,1,0
36.9,18.6,189.0,3500.0,8.59147,-26.08165,1,0
38.5,17.9,190.0,3325.0,8.9846,-25.57956,1,0
45.8,14.6,210.0,4200.0,7.79958,-25.62618,1,2
42.4,17.3,181.0,3600.0,9.35138,-24.6879,1,1
37.6,17.0,185.0,3600.0,8.58063,-26.21569,1,0
36.3,19.5,190.0,3800.0,8.57087,-26.22227,0,0
42.1,19.1,195.0,4000.0,9.05736,-25.81513,0,0
38.1,16.5,198.0,3825.0,8.43951,-26.57563,1,0
36.7,19.3,193.0,3450.0,8.76651,-25.32426,1,0
49.4,15.8,216.0,4925.0,8.03624,-26.06594,0,2
50.1,17.9,190.0,3400.0,9.46819,-24.45721,1,1
45.4,18.7,188.0,3525.0,8.64701,-24.62717,1,1
48.2,15.6,221.0,5100.0,8.24651,-26.66958,0,2
48.4,14.6,213.0,5850.0,7.8208,-25.48025,0,2
49.1,14.5,212.0,4625.0,8.35802,-26.2766,1,2
40.8,18.9,208.0,4300.0,8.48204,-26.57941,0,0
45.6,20.3,191.0,4600.0,8.65466,-26.32909,0,0
36.0,18.5,186.0,3100.0,9.50772,-25.03492,1,0
48.4,16.3,220.0,5400.0,8.03659,-26.86127,0,2
35.5,16.2,195.0,3350.0,8.56192,-25.95541,1,0
40.5,18.9,180.0,3950.0,8.90027,-25.11609,0,0
45.2,14.8,212.0,5200.0,8.24246,-26.11969,1,2
43.4,14.4,218.0,4600.0,8.23468,-26.18599,1,2
41.0,20.0,203.0,4725.0,9.01079,-26.38085,0,0
48.4,14.4,203.0,4625.0,8.16582,-26.13971,1,2
41.1,19.0,182.0,3425.0,,,0,0
44.5,14.7,214.0,4850.0,8.20106,-26.16524,1,2
49.1,14.8,220.0,5150.0,7.89744,-26.63405,1,2
49.5,19.0,200.0,3800.0,9.63074,-24.34684,0,1
51.3,14.2,218.0,5300.0,8.15426,-26.3433,0,2
47.3,13.8,216.0,4725.0,8.25818,-26.23886,-1,2
45.4,14.6,211.0,4800.0,8.24515,-25.46782,1,2
38.2,18.1,185.0,3950.0,8.43423,-25.22664,0,0
37.7,16.0,183.0,3075.0,9.2151,-26.2253,1,0
43.2,18.5,192.0,4100.0,8.97025,-26.03679,0,0
42.2,18.5,180.0,3550.0,8.04787,-25.49523,1,0
39.7,18.9,184.0,3550.0,8.85699,-25.80208,0,0
50.9,19.1,196.0,3550.0,10.02372,-24.86594,0,1
49.8,16.8,230.0,5700.0,8.47067,-26.69166,0,2
49.0,19.5,210.0,3950.0,9.53262,-24.66867,0,1
50.5,18.4,200.0,3400.0,8.9399,-23.89017,1,1
40.2,20.1,200.0,3975.0,8.95998,-26.32601,0,0
45.2,13.8,215.0,4750.0,8.24694,-26.65359,1,2
46.8,16.1,215.0,5500.0,8.32359,-26.05756,0,2
51.5,18.7,187.0,3250.0,9.6895,-24.43062,0,1
39.5,17.4,186.0,3800.0,8.94956,-24.69454,1,0
46.8,14.3,215.0,4850.0,8.41151,-26.13832,1,2
40.8,18.4,195.0,3900.0,,,0,0
34.6,21.1,198.0,4400.0,8.55583,-25.22588,0,0
46.1,18.2,178.0,3250.0,8.85664,-24.55644,1,1
44.1,18.0,210.0,4000.0,9.10702,-26.01363,0,0
48.7,15.1,222.0,5350.0,7.96491,-25.39587,0,2
42.0,19.5,200.0,4050.0,8.48095,-26.3146,0,0
47.7,15.0,216.0,4750.0,8.53018,-26.72751,1,2
45.7,17.0,195.0,3650.0,9.26715,-24.31912,1,1
42.5,16.7,187.0,3350.0,9.36668,-24.45195,1,1
42.9,13.1,215.0,5000.0,7.68528,-25.39181,1,2
